id_commande_client,date_reception,code_article,libelle_produit,quantite_commandee,chaine_froid_requise,site_livraison
FM-000821,06-04-2025,SKU-20011,Yaourt nature 4x125g,28,OUI,OMG-MAR
FM-000241,17/01/2025,SKU-20018,Pizza surgelee,9,OUI,OMG-LYO
FM-000074,2025-07-17,SKU-20018,Pizza surgelee,19,OUI,OMG-MAR
FM-000137,2026-05-24,SKU-20013,Filet de poulet 500g,17,OUI,OMG-MAR
FM-001032,14/05/2025,SKU-20016,Fromage rape 200g,5,OUI,OMG-LYO
FM-000812,21/02/2025,SKU-20017,Pommes Gala 1kg,26,OUI,OMG-LYO
FM-001201,05/04/2025,SKU-20012,Lait demi-ecreme 1L,31,OUI,OMG-LIL
FM-000401,26-05-2026,SKU-20019,Beurre doux 250g,40,OUI,OMG-LIL
FM-001201,05-04-2025,SKU-20012,Lait demi-ecreme 1L,23,OUI,OMG-LIL
FM-001209,22-05-2025,SKU-20019,Beurre doux 250g,37,OUI,OMG-LYO
FM-000505,14/08/2025,SKU-20019,Beurre doux 250g,13,OUI,OMG-LYO
FM-000524,10-06-2026,SKU-20011,Yaourt nature 4x125g,9,OUI,OMG-MAR
FM-000203,14/01/2026,SKU-20018,Pizza surgelee,19,OUI,OMG-LYO
FM-000348,21-09-2025,SKU-20012,Lait demi-ecreme 1L,17,OUI,OMG-LYO
FM-000266,11/12/2025,SKU-20015,Jus d'orange 1L,27,OUI,OMG-MAR
FM-000453,24/10/2025,SKU-20019,Beurre doux 250g,23,OUI,OMG-LIL
FM-000556,01-04-2025,SKU-20018,Pizza surgelee,30,OUI,OMG-LIL
FM-000802,2026-06-19,SKU-20013,Filet de poulet 500g,21,OUI,OMG-LIL
FM-000218,21/08/2025,SKU-20019,Beurre doux 250g,37,OUI,OMG-LIL
FM-000313,2025-06-15,SKU-20016,Fromage rape 200g,19,OUI,OMG-LYO
FM-000080,2025-11-03,SKU-20012,Lait demi-ecreme 1L,30,OUI,OMG-LYO
FM-001384,2026-02-22,SKU-20017,Pommes Gala 1kg,9,OUI,OMG-LIL
FM-000272,10/06/2026,SKU-20017,Pommes Gala 1kg,38,OUI,OMG-LIL
FM-001049,21-06-2026,SKU-20011,Yaourt nature 4x125g,26,OUI,OMG-LIL
FM-000378,2025-12-30,SKU-20013,Filet de poulet 500g,29,OUI,OMG-MAR
FM-001032,14-05-2025,SKU-20019,Beurre doux 250g,4,OUI,OMG-LYO
FM-001076,25/06/2026,SKU-20016,Fromage rape 200g,24,OUI,OMG-LYO
FM-000845,2026-02-20,SKU-20019,Beurre doux 250g,8,OUI,OMG-LYO
FM-000137,24/05/2026,SKU-20012,Lait demi-ecreme 1L,28,OUI,OMG-MAR
FM-000436,28-04-2026,SKU-20012,Lait demi-ecreme 1L,22,OUI,OMG-LYO
FM-000092,2025-02-09,SKU-20014,Epinards surgeles 1kg,7,OUI,OMG-MAR
FM-000799,22/08/2025,SKU-20019,Beurre doux 250g,21,OUI,OMG-MAR
FM-000142,2026-06-08,SKU-20018,Pizza surgelee,17,OUI,OMG-LIL
FM-000821,06/04/2025,SKU-20011,Yaourt nature 4x125g,17,OUI,OMG-MAR
FM-000480,15/01/2026,SKU-20018,Pizza surgelee,18,OUI,OMG-MAR
FM-000602,2026-06-12,SKU-20016,Fromage rape 200g,12,OUI,OMG-LIL
FM-000788,08/05/2026,SKU-20011,Yaourt nature 4x125g,12,OUI,OMG-LIL
FM-000887,15/08/2025,SKU-20018,Pizza surgelee,19,OUI,OMG-LYO
FM-000280,11-05-2025,SKU-20013,Filet de poulet 500g,40,OUI,OMG-LYO
FM-001251,17/01/2025,SKU-20015,Jus d'orange 1L,17,OUI,OMG-LYO
FM-001393,24-04-2025,SKU-20012,Lait demi-ecreme 1L,9,OUI,OMG-MAR
FM-000368,2025-02-23,SKU-20012,Lait demi-ecreme 1L,30,OUI,OMG-LYO
FM-001350,08-11-2025,SKU-20011,Yaourt nature 4x125g,2,OUI,OMG-LYO
FM-000410,10-05-2025,SKU-20011,Yaourt nature 4x125g,34,OUI,OMG-LIL
FM-001203,30-09-2025,SKU-20014,Epinards surgeles 1kg,11,OUI,OMG-MAR
FM-000331,25-09-2025,SKU-20018,Pizza surgelee,11,OUI,OMG-LIL
FM-000331,25/09/2025,SKU-20014,Epinards surgeles 1kg,5,OUI,OMG-LIL
FM-001009,24-11-2025,SKU-20015,Jus d'orange 1L,1,OUI,OMG-MAR
FM-000632,11-04-2026,SKU-20020,Compote pomme 4x100g,13,OUI,OMG-LIL
FM-000726,24-04-2025,SKU-20017,Pommes Gala 1kg,34,OUI,OMG-LYO
FM-000614,27/06/2025,SKU-20015,Jus d'orange 1L,36,OUI,OMG-MAR
FM-000281,30-11-2025,SKU-20011,Yaourt nature 4x125g,35,OUI,OMG-MAR
FM-000707,14/04/2026,SKU-20012,Lait demi-ecreme 1L,36,OUI,OMG-LYO
FM-000410,10-05-2025,SKU-20013,Filet de poulet 500g,38,OUI,OMG-LIL
FM-000090,20-11-2025,SKU-20013,Filet de poulet 500g,31,OUI,OMG-LIL
FM-001384,22/02/2026,SKU-20020,Compote pomme 4x100g,2,OUI,OMG-LIL
FM-000957,24/01/2025,SKU-20014,Epinards surgeles 1kg,12,OUI,OMG-LYO
FM-001313,08/07/2026,SKU-20020,Compote pomme 4x100g,8,OUI,OMG-LIL
FM-000136,17-06-2025,SKU-20011,Yaourt nature 4x125g,19,OUI,OMG-LYO
FM-001048,2025-10-16,SKU-20014,Epinards surgeles 1kg,40,OUI,OMG-LYO
FM-001085,2025-11-10,SKU-20017,Pommes Gala 1kg,2,OUI,OMG-LIL
FM-000625,01-06-2025,SKU-20012,Lait demi-ecreme 1L,22,OUI,OMG-LIL
FM-000374,03-04-2025,SKU-20011,Yaourt nature 4x125g,3,OUI,OMG-MAR
FM-001041,14/04/2026,SKU-20016,Fromage rape 200g,16,OUI,OMG-LYO
FM-000103,27/03/2026,SKU-20020,Compote pomme 4x100g,21,OUI,OMG-MAR
FM-000041,2025-07-15,SKU-20014,Epinards surgeles 1kg,5,OUI,OMG-LIL
FM-000528,26/01/2026,SKU-20015,Jus d'orange 1L,24,OUI,OMG-LIL
FM-000356,15-04-2025,SKU-20017,Pommes Gala 1kg,7,OUI,OMG-LIL
FM-000345,2025-10-02,SKU-20019,Beurre doux 250g,19,OUI,OMG-LIL
FM-001398,14-05-2025,SKU-20011,Yaourt nature 4x125g,35,OUI,OMG-LIL
FM-001313,08-07-2026,SKU-20013,Filet de poulet 500g,20,OUI,OMG-LIL
FM-000050,23-08-2025,SKU-20013,Filet de poulet 500g,18,OUI,OMG-LYO
FM-000651,26-02-2025,SKU-20017,Pommes Gala 1kg,3,OUI,OMG-LYO
FM-000886,23/10/2025,SKU-20019,Beurre doux 250g,12,OUI,OMG-MAR
FM-000573,2026-07-09,SKU-20017,Pommes Gala 1kg,37,OUI,OMG-LYO
FM-000458,2025-09-16,SKU-20018,Pizza surgelee,13,OUI,OMG-LIL
FM-000532,25-04-2025,SKU-20014,Epinards surgeles 1kg,27,OUI,OMG-LIL
FM-000025,30-07-2026,SKU-20013,Filet de poulet 500g,35,OUI,OMG-LYO
FM-000555,2025-05-09,SKU-20018,Pizza surgelee,4,OUI,OMG-LIL
FM-000092,09-02-2025,SKU-20015,Jus d'orange 1L,23,OUI,OMG-MAR
FM-000082,16-10-2025,SKU-20020,Compote pomme 4x100g,27,OUI,OMG-LIL
FM-000037,11-05-2026,SKU-20015,Jus d'orange 1L,29,OUI,OMG-LYO
FM-000831,2025-07-02,SKU-20013,Filet de poulet 500g,10,OUI,OMG-LYO
FM-000984,13-01-2026,SKU-20020,Compote pomme 4x100g,28,OUI,OMG-LIL
FM-001366,2025-10-03,SKU-20015,Jus d'orange 1L,36,OUI,OMG-LYO
FM-001032,14-05-2025,SKU-20016,Fromage rape 200g,31,OUI,OMG-LYO
FM-000766,08/11/2025,SKU-20020,Compote pomme 4x100g,21,OUI,OMG-LIL
FM-000891,2025-06-20,SKU-20015,Jus d'orange 1L,29,OUI,OMG-MAR
FM-001024,2025-12-07,SKU-20011,Yaourt nature 4x125g,8,OUI,OMG-LIL
FM-000920,25/06/2026,SKU-20012,Lait demi-ecreme 1L,12,OUI,OMG-MAR
FM-000944,04-02-2026,SKU-20011,Yaourt nature 4x125g,24,OUI,OMG-MAR
FM-000398,16-02-2025,SKU-20015,Jus d'orange 1L,4,OUI,OMG-LYO
FM-000503,21-02-2025,SKU-20020,Compote pomme 4x100g,28,OUI,OMG-LIL
FM-000814,23-02-2025,SKU-20011,Yaourt nature 4x125g,31,OUI,OMG-MAR
FM-001063,29/10/2025,SKU-20013,Filet de poulet 500g,34,OUI,OMG-LIL
