numero_cde,date,sku,description,quantite,entrepot_destination
MTX-000159,07/06/2026,SKU-30027,Short de sport,17,OMG-LIL
MTX-000118,14-04-2025,SKU-30022,Jean coupe droite,30,OMG-LIL
MTX-000186,2025-03-05,SKU-30023,Veste softshell,25,OMG-LYO
MTX-000265,08-02-2025,SKU-30026,Chemise popeline,20,OMG-LYO
MTX-000847,26-09-2025,SKU-30030,Robe ete,40,OMG-LYO
MTX-001399,18/06/2025,SKU-30026,Chemise popeline,16,OMG-MAR
MTX-001016,2025-10-19,SKU-30022,Jean coupe droite,38,OMG-MAR
MTX-000077,2026-01-21,SKU-30026,Chemise popeline,15,OMG-MAR
MTX-000158,27-04-2025,SKU-30024,Chaussettes x3,38,OMG-MAR
MTX-000393,2026-07-26,SKU-30027,Short de sport,21,OMG-MAR
MTX-001150,2026-03-20,SKU-30023,Veste softshell,2,OMG-MAR
MTX-000141,12/09/2025,SKU-30023,Veste softshell,26,OMG-LYO
MTX-000011,28/06/2025,SKU-30022,Jean coupe droite,4,OMG-MAR
MTX-000934,21-01-2025,SKU-30026,Chemise popeline,33,OMG-MAR
MTX-001258,2026-03-06,SKU-30030,Robe ete,7,OMG-LIL
MTX-001270,2026-05-01,SKU-30029,Casquette coton,19,OMG-LIL
MTX-000186,2025-03-05,SKU-30022,Jean coupe droite,6,OMG-LYO
MTX-001347,31-01-2025,SKU-30022,Jean coupe droite,32,OMG-LYO
MTX-000639,18/04/2025,SKU-30026,Chemise popeline,26,OMG-MAR
MTX-000440,20/04/2026,SKU-30029,Casquette coton,4,OMG-LYO
MTX-000419,10-03-2025,SKU-30026,Chemise popeline,9,OMG-MAR
MTX-001059,16/01/2025,SKU-30024,Chaussettes x3,32,OMG-LYO
MTX-000249,04/11/2025,SKU-30025,Pull col rond,21,OMG-MAR
MTX-001243,2026-03-24,SKU-30023,Veste softshell,19,OMG-MAR
MTX-000724,2025-01-07,SKU-30022,Jean coupe droite,28,OMG-MAR
MTX-000399,03-09-2025,SKU-30023,Veste softshell,13,OMG-LYO
MTX-001193,02/06/2025,SKU-30028,Doudoune legere,38,OMG-MAR
MTX-001397,2025-09-15,SKU-30021,T-shirt coton uni,3,OMG-LYO
MTX-000244,05-05-2026,SKU-30029,Casquette coton,32,OMG-LYO
MTX-000105,27-05-2025,SKU-30021,T-shirt coton uni,29,OMG-MAR
MTX-000044,2025-09-23,SKU-30027,Short de sport,12,OMG-MAR
MTX-001267,31-05-2025,SKU-30029,Casquette coton,9,OMG-LIL
MTX-000620,2026-03-11,SKU-30030,Robe ete,27,OMG-LYO
MTX-000236,05-09-2025,SKU-30023,Veste softshell,38,OMG-LIL
MTX-001356,18-05-2026,SKU-30024,Chaussettes x3,30,OMG-LIL
MTX-000238,01-02-2025,SKU-30027,Short de sport,33,OMG-MAR
MTX-000959,04/04/2025,SKU-30026,Chemise popeline,26,OMG-MAR
MTX-000071,2025-12-04,SKU-30028,Doudoune legere,11,OMG-LYO
MTX-000115,06-05-2026,SKU-30027,Short de sport,1,OMG-LYO
MTX-001253,2026-06-04,SKU-30025,Pull col rond,27,OMG-LYO
MTX-000890,23-01-2025,SKU-30026,Chemise popeline,17,OMG-LYO
MTX-000390,13-04-2026,SKU-30021,T-shirt coton uni,20,OMG-MAR
MTX-000640,26/04/2025,SKU-30028,Doudoune legere,15,OMG-MAR
MTX-001045,2025-02-06,SKU-30027,Short de sport,33,OMG-LYO
MTX-001035,2026-04-02,SKU-30030,Robe ete,5,OMG-LIL
MTX-000525,2025-10-23,SKU-30024,Chaussettes x3,16,OMG-LIL
MTX-000243,25-04-2026,SKU-30028,Doudoune legere,27,OMG-MAR
MTX-000444,25/03/2026,SKU-30029,Casquette coton,18,OMG-LYO
MTX-001083,27/04/2026,SKU-30026,Chemise popeline,39,OMG-LYO
MTX-000330,2026-03-26,SKU-30026,Chemise popeline,38,OMG-LIL
MTX-000277,27-03-2026,SKU-30028,Doudoune legere,13,OMG-MAR
MTX-001083,2026-04-27,SKU-30021,T-shirt coton uni,6,OMG-LYO
MTX-001171,29/07/2025,SKU-30026,Chemise popeline,2,OMG-MAR
MTX-001317,2025-05-11,SKU-30029,Casquette coton,14,OMG-MAR
MTX-000834,27-04-2026,SKU-30021,T-shirt coton uni,11,OMG-MAR
MTX-001073,08/05/2026,SKU-30026,Chemise popeline,39,OMG-LYO
MTX-000918,01-04-2026,SKU-30029,Casquette coton,1,OMG-LYO
MTX-000617,17-03-2025,SKU-30028,Doudoune legere,16,OMG-MAR
MTX-000213,09/05/2026,SKU-30027,Short de sport,14,OMG-LIL
MTX-001360,27-01-2026,SKU-30028,Doudoune legere,2,OMG-MAR
MTX-000238,01-02-2025,SKU-30024,Chaussettes x3,23,OMG-MAR
MTX-000367,03-11-2025,SKU-30027,Short de sport,16,OMG-LIL
MTX-000138,10/11/2025,SKU-30021,T-shirt coton uni,37,OMG-LIL
MTX-000166,07/06/2026,SKU-30029,Casquette coton,15,OMG-MAR
MTX-001316,2026-04-25,SKU-30023,Veste softshell,32,OMG-MAR
MTX-000875,27/02/2025,SKU-30028,Doudoune legere,28,OMG-LYO
MTX-000246,20-06-2025,SKU-30026,Chemise popeline,38,OMG-LYO
MTX-001320,09/03/2025,SKU-30028,Doudoune legere,30,OMG-MAR
MTX-000576,25-07-2026,SKU-30023,Veste softshell,40,OMG-MAR
MTX-000069,2025-01-12,SKU-30028,Doudoune legere,17,OMG-LIL
MTX-000780,30/07/2026,SKU-30025,Pull col rond,18,OMG-MAR
MTX-000156,2025-12-28,SKU-30022,Jean coupe droite,19,OMG-LYO
MTX-000685,25/01/2025,SKU-30025,Pull col rond,36,OMG-MAR
MTX-001128,29-10-2025,SKU-30023,Veste softshell,29,OMG-MAR
MTX-001083,2026-04-27,SKU-30026,Chemise popeline,38,OMG-LYO
MTX-000778,06-12-2025,SKU-30022,Jean coupe droite,6,OMG-MAR
MTX-000650,18/06/2025,SKU-30022,Jean coupe droite,33,OMG-MAR
MTX-000954,15-06-2026,SKU-30024,Chaussettes x3,2,OMG-LYO
MTX-000954,15-06-2026,SKU-30030,Robe ete,15,OMG-LYO
MTX-000903,05/04/2025,SKU-30027,Short de sport,32,OMG-MAR
MTX-001092,27-06-2025,SKU-30022,Jean coupe droite,25,OMG-MAR
