ref_commande;date_cde;reference_piece;designation;qte;poids_unitaire_g;entrepot
ND-000549;19-07-2026;SKU-10005;Bougie d'allumage;17;5900;OMG-LIL
ND-000220;16/05/2026;SKU-10001;Plaquette de frein;20;5130;OMG-LIL
ND-000860;12/01/2025;SKU-10006;Amortisseur avant;37;5430;OMG-LYO
ND-000429;05-06-2025;SKU-10009;Retroviseur;21;3400;OMG-LIL
ND-000561;2026-05-15;SKU-10002;Disque de frein;36;250;OMG-LYO
ND-000825;10-12-2025;SKU-10007;Courroie de distribution;30;7140;OMG-MAR
ND-000470;09/07/2025;SKU-10003;Filtre a huile;7;2240;OMG-LIL
ND-001000;04-02-2026;SKU-10004;Filtre a air;6;1820;OMG-LYO
ND-001297;2025-03-07;SKU-10008;Batterie 12V;6;740;OMG-MAR
ND-001138;12/11/2025;SKU-10004;Filtre a air;24;1820;OMG-LIL
ND-000329;04-06-2026;SKU-10001;Plaquette de frein;21;5130;OMG-LYO
ND-001338;15-06-2026;SKU-10003;Filtre a huile;22;2240;OMG-MAR
ND-000855;2026-07-18;SKU-10008;Batterie 12V;30;740;OMG-LIL
ND-000034;07-06-2026;SKU-10003;Filtre a huile;2;2240;OMG-LYO
ND-001081;22/04/2025;SKU-10007;Courroie de distribution;38;7140;OMG-LIL
ND-001304;16/02/2026;SKU-10009;Retroviseur;7;3400;OMG-LIL
ND-001259;2026-06-19;SKU-10002;Disque de frein;27;250;OMG-LYO
ND-000034;07-06-2026;SKU-10001;Plaquette de frein;16;5130;OMG-LYO
ND-000164;2026-04-10;SKU-10004;Filtre a air;3;1820;OMG-LIL
ND-000169;07-06-2025;SKU-10008;Batterie 12V;24;740;OMG-LIL
ND-000700;2025-09-10;SKU-10001;Plaquette de frein;26;5130;OMG-LYO
ND-000652;2025-04-17;SKU-10008;Batterie 12V;30;740;OMG-MAR
ND-000016;2025-05-10;SKU-10004;Filtre a air;26;1820;OMG-LYO
