id,client_id,entrepot_id,date_commande,statut
1,1,3,2025-12-23,Livree
2,1,1,2025-10-23,Livree
3,2,2,2026-05-13,En preparation
4,2,2,2025-07-27,Livree
5,2,1,2025-04-18,Livree
6,1,2,2025-10-24,En preparation
7,1,2,2025-12-04,Livree
8,3,3,2026-04-19,Livree
9,1,1,2025-07-07,Expediee
10,2,3,2025-05-09,Livree
11,3,3,2025-06-28,En preparation
12,1,1,2025-01-25,Expediee
13,3,3,2026-03-24,Livree
14,1,1,2025-11-09,Expediee
15,2,2,2025-07-14,Expediee
16,1,1,2025-05-10,Livree
17,3,2,2025-05-01,Livree
18,3,1,2025-02-14,Annulee
19,3,1,2026-06-09,Expediee
20,2,1,2026-06-05,Expediee
21,2,3,2026-03-14,Annulee
22,3,2,2025-04-13,Expediee
23,2,3,2026-05-23,Livree
24,3,2,2025-07-15,Expediee
25,2,1,2026-07-30,Livree
26,1,2,2025-06-13,En preparation
27,2,3,2025-05-01,Expediee
28,3,1,2025-07-27,Livree
29,2,1,2025-06-23,Livree
30,3,2,2025-01-22,Livree
31,3,3,2025-03-31,Livree
32,3,1,2026-07-14,Expediee
33,1,2,2025-08-11,Livree
34,1,1,2026-06-07,Livree
35,2,3,2026-03-24,Livree
36,1,1,2025-12-21,Livree
37,2,1,2026-05-11,Livree
38,1,3,2025-06-16,Livree
39,2,2,2025-11-22,Livree
40,3,3,2025-01-21,Expediee
41,2,2,2025-07-15,Expediee
42,1,1,2026-01-03,En preparation
43,1,3,2025-01-20,Expediee
44,3,3,2025-09-23,Livree
45,2,2,2026-07-22,En preparation
46,3,3,2026-06-03,Livree
47,2,3,2026-06-29,Expediee
48,1,2,2026-06-22,Livree
49,1,2,2025-04-03,Expediee
50,2,1,2025-08-23,Livree
51,1,2,2026-01-07,Livree
52,1,3,2025-08-24,Livree
53,3,2,2025-08-26,En preparation
54,1,3,2025-06-13,Livree
55,2,3,2026-04-07,Livree
56,1,2,2026-05-01,En preparation
57,3,1,2025-07-26,Expediee
58,2,1,2025-12-31,En preparation
59,2,3,2025-09-08,En preparation
60,3,3,2026-04-02,Annulee
61,2,1,2026-03-31,Livree
62,2,3,2025-01-29,Livree
63,3,2,2026-05-01,Livree
64,1,3,2026-04-18,Expediee
65,1,3,2025-04-30,Livree
66,3,3,2025-04-17,Expediee
67,2,3,2026-01-12,Livree
68,3,3,2025-04-29,Livree
69,3,2,2025-01-12,Expediee
70,3,3,2026-01-15,Expediee
71,3,1,2025-12-04,Annulee
72,3,2,2025-01-23,Livree
73,3,3,2025-05-20,Livree
74,2,3,2025-07-17,Livree
75,2,3,2025-11-26,En preparation
76,2,3,2025-08-18,Annulee
77,3,3,2026-01-21,Expediee
78,1,3,2026-05-18,Livree
79,3,3,2025-07-31,Expediee
80,2,1,2025-11-03,Livree
81,3,1,2026-05-19,Livree
82,2,2,2025-10-16,En preparation
83,3,2,2025-06-18,Livree
84,2,1,2026-05-30,Livree
85,1,2,2025-04-23,Annulee
86,1,1,2025-07-26,Livree
87,3,3,2026-02-10,Livree
88,2,1,2025-03-04,Livree
89,2,3,2026-04-16,Livree
90,2,2,2025-11-20,Expediee
91,1,3,2026-07-28,Livree
92,2,3,2025-02-09,Annulee
93,2,3,2025-10-13,Livree
94,1,2,2026-06-30,Expediee
95,3,3,2025-06-17,Livree
96,3,1,2025-07-31,Livree
97,3,2,2026-02-14,En preparation
98,3,1,2025-01-06,Livree
99,1,2,2026-02-18,Expediee
100,2,1,2025-11-11,Livree
101,1,2,2025-08-29,Expediee
102,3,3,2025-04-25,Livree
103,2,3,2026-03-27,Livree
104,2,1,2025-02-14,Livree
105,3,3,2025-05-27,Livree
106,3,3,2026-04-19,Livree
107,2,2,2025-07-15,Expediee
108,1,3,2026-06-30,Expediee
109,1,2,2025-03-20,Livree
110,3,3,2025-07-04,Annulee
111,2,2,2025-08-07,Expediee
112,1,1,2025-07-31,Livree
113,1,1,2025-09-05,Expediee
114,2,1,2025-04-27,Livree
115,3,1,2026-05-06,Livree
116,3,1,2026-02-11,Annulee
117,3,3,2026-03-07,Livree
118,3,2,2025-04-14,Livree
119,2,3,2025-11-06,Annulee
120,2,2,2025-11-07,Expediee
121,2,2,2025-03-21,Livree
122,2,2,2026-05-12,Annulee
123,2,3,2026-06-12,Livree
124,2,2,2025-10-25,Expediee
125,1,3,2025-10-13,Livree
126,2,1,2026-04-21,Livree
127,3,2,2025-08-21,Expediee
128,2,3,2026-03-21,Livree
129,2,2,2026-06-13,Livree
130,3,1,2025-08-25,Livree
131,3,2,2026-04-23,Livree
132,2,3,2025-06-13,Expediee
133,2,2,2026-01-12,Livree
134,1,2,2025-04-06,Livree
135,3,3,2025-08-31,Livree
136,2,1,2025-06-17,En preparation
137,2,3,2026-05-24,En preparation
138,3,2,2025-11-10,Livree
139,3,3,2026-04-20,Livree
140,3,3,2025-11-08,Livree
141,3,1,2025-09-12,Expediee
142,2,2,2026-06-08,Livree
143,3,3,2026-07-15,En preparation
144,2,2,2025-04-28,Livree
145,2,3,2026-01-07,Livree
146,3,2,2025-06-24,Expediee
147,2,2,2025-04-24,Livree
148,2,1,2025-03-26,En preparation
149,3,2,2025-03-20,En preparation
150,3,2,2026-01-06,En preparation
151,3,3,2026-07-16,Expediee
152,1,3,2025-08-13,Expediee
153,3,2,2025-04-15,Expediee
154,3,1,2025-05-17,En preparation
155,2,2,2025-07-12,Livree
156,3,1,2025-12-28,Livree
157,2,3,2026-03-03,Expediee
158,3,3,2025-04-27,Livree
159,3,2,2026-06-07,Expediee
160,2,2,2026-06-29,Livree
161,3,3,2025-11-23,Livree
162,1,1,2025-01-18,Annulee
163,1,2,2025-05-27,Expediee
164,1,2,2026-04-10,En preparation
165,2,2,2025-07-02,Livree
166,3,3,2026-06-07,Expediee
167,3,1,2026-05-02,En preparation
168,2,1,2026-02-22,Livree
169,1,2,2025-06-07,Livree
170,2,2,2026-06-08,En preparation
171,3,3,2026-06-06,En preparation
172,1,3,2026-04-15,Expediee
173,1,3,2025-12-31,Expediee
174,3,3,2026-07-14,Livree
175,2,3,2026-05-14,Expediee
176,1,1,2025-11-17,Livree
177,3,2,2026-05-28,Livree
178,3,2,2025-01-14,Livree
179,2,2,2025-12-23,En preparation
180,2,2,2025-10-20,En preparation
181,1,2,2025-12-04,En preparation
182,3,3,2026-01-05,Livree
183,1,3,2025-04-22,Expediee
184,3,1,2026-01-24,Expediee
185,2,1,2025-10-04,En preparation
186,3,1,2025-03-05,Livree
187,1,1,2025-12-01,Livree
188,1,3,2026-03-11,Expediee
189,1,1,2025-05-10,Livree
190,2,2,2026-04-27,Livree
191,2,1,2025-11-06,Annulee
192,2,2,2025-03-30,Expediee
193,2,3,2025-02-23,Expediee
194,2,3,2026-01-29,Expediee
195,3,3,2026-05-18,Livree
196,3,3,2026-01-24,Livree
197,3,1,2025-09-28,Livree
198,2,3,2025-03-26,En preparation
199,1,2,2026-03-11,Livree
200,3,1,2025-06-09,Livree
201,2,3,2026-01-16,Livree
202,3,3,2025-08-20,Expediee
203,2,1,2026-01-14,En preparation
204,1,1,2025-09-02,Expediee
205,1,1,2026-03-16,Livree
206,2,3,2026-02-01,Livree
207,2,3,2025-06-19,Annulee
208,1,2,2025-07-24,Livree
209,2,3,2026-04-20,En preparation
210,1,3,2025-09-30,Livree
211,3,1,2025-07-13,Livree
212,2,3,2025-08-05,En preparation
213,3,2,2026-05-09,En preparation
214,2,2,2025-09-08,Expediee
215,1,1,2025-12-09,Livree
216,1,2,2026-05-01,Livree
217,3,3,2025-12-12,Livree
218,2,2,2025-08-21,Livree
219,3,1,2026-05-03,Expediee
220,1,2,2026-05-16,Livree
221,1,2,2025-10-27,Livree
222,1,1,2026-04-02,Livree
223,3,3,2026-04-24,Livree
224,3,3,2026-06-13,En preparation
225,1,2,2026-04-21,En preparation
226,2,2,2026-02-11,Livree
227,3,3,2026-05-03,Livree
228,3,3,2025-01-02,Livree
229,1,3,2026-07-09,Expediee
230,1,3,2025-02-05,Annulee
231,2,2,2025-03-09,En preparation
232,2,3,2025-08-25,Expediee
233,1,2,2025-01-19,Livree
234,1,1,2026-07-07,Livree
235,1,3,2025-03-16,Livree
236,3,2,2025-09-05,Livree
237,2,2,2025-04-04,Livree
238,3,3,2025-02-01,Livree
239,2,2,2026-03-08,Expediee
240,1,2,2025-10-17,En preparation
241,2,1,2025-01-17,Annulee
242,1,1,2025-12-25,Livree
243,3,3,2026-04-25,Livree
244,3,1,2026-05-05,Annulee
245,2,2,2025-05-20,Livree
246,3,1,2025-06-20,En preparation
247,1,3,2026-06-29,Livree
248,3,2,2025-01-01,Livree
249,3,3,2025-11-04,En preparation
250,3,2,2025-05-16,Expediee
251,1,1,2026-04-13,Livree
252,3,3,2026-07-21,Expediee
253,2,2,2025-10-22,Livree
254,2,1,2025-10-19,Livree
255,1,2,2026-05-23,Livree
256,1,2,2026-03-21,Livree
257,3,2,2025-03-05,Livree
258,3,3,2025-10-29,Livree
259,3,1,2025-03-08,En preparation
260,3,1,2026-01-05,Livree
261,1,1,2025-02-03,Livree
262,2,1,2026-06-29,En preparation
263,3,1,2025-08-11,Expediee
264,3,3,2026-06-13,En preparation
265,3,1,2025-02-08,Expediee
266,2,3,2025-12-11,Expediee
267,1,3,2025-05-04,Livree
268,1,2,2025-10-14,Expediee
269,3,1,2025-08-10,Livree
270,3,2,2026-02-03,Livree
271,3,2,2026-07-08,Annulee
272,2,2,2026-06-10,Livree
273,2,3,2025-09-10,Expediee
274,1,3,2026-01-22,Annulee
275,1,2,2026-07-19,Expediee
276,3,2,2026-05-24,Livree
277,3,3,2026-03-27,Expediee
278,1,1,2025-04-17,Annulee
279,1,2,2025-09-16,En preparation
280,2,1,2025-05-11,En preparation
281,2,3,2025-11-30,Livree
282,1,1,2026-06-23,Expediee
283,2,3,2026-02-09,En preparation
284,1,2,2025-01-15,Livree
285,2,3,2025-07-18,Expediee
286,3,3,2026-05-05,Livree
287,1,3,2025-06-05,Expediee
288,1,3,2026-06-04,Livree
289,2,2,2025-02-08,Livree
290,1,3,2026-05-18,Livree
291,2,3,2026-01-07,Expediee
292,3,2,2025-05-21,En preparation
293,2,2,2025-02-05,Livree
294,2,3,2026-06-10,En preparation
295,3,1,2026-01-28,Expediee
296,1,2,2025-12-12,Expediee
297,1,3,2026-04-26,En preparation
298,3,3,2026-01-03,Expediee
299,3,2,2026-06-30,Livree
300,1,2,2025-05-29,Expediee
301,1,2,2025-01-04,Livree
302,3,1,2026-07-22,Expediee
303,3,1,2025-08-01,Livree
304,3,3,2026-05-07,Livree
305,3,1,2025-10-01,En preparation
306,1,1,2026-06-05,Livree
307,3,3,2026-07-29,En preparation
308,3,2,2026-06-23,En preparation
309,3,2,2025-06-25,Expediee
310,1,3,2026-02-04,Livree
311,2,2,2026-07-06,Expediee
312,3,3,2025-10-06,Livree
313,2,1,2025-06-15,En preparation
314,3,3,2025-01-07,Livree
315,2,3,2026-07-17,Livree
316,1,3,2025-02-20,Livree
317,3,1,2025-01-19,Livree
318,2,2,2026-05-05,Livree
319,3,1,2025-08-14,Expediee
320,3,2,2026-02-28,Livree
321,2,3,2026-03-02,Expediee
322,1,1,2026-06-06,Expediee
323,1,3,2026-03-27,Livree
324,3,3,2025-08-26,En preparation
325,2,1,2025-01-04,Livree
326,2,3,2025-03-26,Livree
327,1,3,2025-07-22,Livree
328,1,3,2026-06-16,Livree
329,1,1,2026-06-04,Livree
330,3,2,2026-03-26,Livree
331,2,2,2025-09-25,Livree
332,3,3,2025-04-02,En preparation
333,3,2,2025-01-18,Livree
334,1,3,2025-11-11,En preparation
335,2,3,2025-04-21,Expediee
336,2,2,2025-04-13,Livree
337,1,3,2026-01-26,Expediee
338,2,1,2026-06-26,Livree
339,1,2,2026-04-10,Expediee
340,2,1,2025-05-01,Livree
341,2,3,2026-03-08,Livree
342,3,2,2025-09-20,Expediee
343,1,3,2025-10-26,Expediee
344,1,1,2026-04-11,Livree
345,2,2,2025-10-02,En preparation
346,3,3,2026-03-29,Livree
347,3,1,2026-01-26,Livree
348,2,1,2025-09-21,Annulee
349,3,1,2026-06-10,Expediee
350,2,1,2026-03-07,Expediee
351,1,1,2025-07-13,Expediee
352,3,2,2026-01-18,Expediee
353,2,2,2026-06-18,Expediee
354,3,2,2025-07-04,Livree
355,3,1,2025-03-19,Expediee
356,2,2,2025-04-15,Annulee
357,3,1,2025-02-16,Livree
358,1,2,2025-04-05,Livree
359,3,1,2025-05-11,En preparation
360,1,2,2025-06-27,Livree
361,3,1,2026-05-30,Livree
362,1,1,2025-11-05,Livree
363,1,1,2026-07-27,Livree
364,2,3,2025-07-31,Livree
365,3,3,2026-05-12,Livree
366,1,3,2025-04-16,Livree
367,3,2,2025-11-03,Livree
368,2,1,2025-02-23,Livree
369,3,1,2025-05-25,Annulee
370,1,1,2026-01-19,Livree
371,2,1,2025-05-30,Expediee
372,3,1,2026-02-09,En preparation
373,1,3,2026-07-20,Livree
374,2,3,2025-04-03,Livree
375,2,1,2026-06-17,En preparation
376,3,1,2026-06-29,Livree
377,2,3,2025-05-30,Livree
378,2,3,2025-12-30,Livree
379,3,1,2025-01-15,En preparation
380,1,3,2026-06-15,Livree
381,1,2,2025-05-29,Livree
382,2,1,2025-12-30,Expediee
383,2,3,2025-02-01,Expediee
384,3,1,2026-03-10,Expediee
385,3,2,2025-10-01,Expediee
386,2,2,2025-11-05,Livree
387,2,1,2025-06-16,Expediee
388,1,2,2025-10-13,Expediee
389,2,2,2025-05-15,Livree
390,3,3,2026-04-13,Expediee
391,3,3,2025-11-02,Annulee
392,1,2,2026-03-20,Expediee
393,3,3,2026-07-26,Livree
394,2,1,2025-09-07,Livree
395,1,2,2025-02-04,Expediee
396,2,1,2025-09-24,En preparation
397,2,1,2025-09-15,Livree
398,2,1,2025-02-16,Livree
399,3,1,2025-09-03,Livree
400,2,3,2025-10-01,Livree
401,2,2,2026-05-26,Livree
402,1,3,2025-04-18,En preparation
403,2,1,2026-05-25,Expediee
404,1,2,2025-11-18,Annulee
405,1,1,2026-04-21,En preparation
406,1,3,2026-04-15,Livree
407,2,1,2026-07-31,En preparation
408,3,2,2026-06-19,Livree
409,1,3,2026-02-22,Livree
410,2,2,2025-05-10,Livree
411,1,2,2026-04-04,Expediee
412,3,2,2026-05-08,Livree
413,1,2,2025-08-28,Livree
414,1,3,2026-01-19,Livree
415,1,1,2025-02-12,En preparation
416,3,3,2026-04-14,Livree
417,3,3,2026-06-28,En preparation
418,1,2,2026-03-04,Livree
419,3,3,2025-03-10,Livree
420,1,3,2025-06-30,Expediee
421,2,1,2025-09-17,Livree
422,1,1,2026-06-17,Livree
423,3,2,2026-02-22,Expediee
424,1,1,2025-08-06,Expediee
425,2,3,2025-01-25,Livree
426,3,2,2025-05-16,Livree
427,1,1,2025-09-22,Expediee
428,3,1,2025-09-16,Livree
429,1,2,2025-06-05,Livree
430,3,1,2025-06-10,Livree
431,2,3,2025-02-09,Livree
432,3,3,2025-12-13,En preparation
433,1,1,2026-06-27,Livree
434,2,2,2025-01-24,Livree
435,3,1,2026-01-30,Livree
436,2,1,2026-04-28,Livree
437,2,3,2026-06-24,Livree
438,1,2,2025-05-17,Livree
439,1,1,2026-05-29,Livree
