id,client,entrepot,categorie_produit,date_expedition,poids_kg,delai_livraison_jours,cout_transport_eur,statut
1,MedioTex,Marseille,Textile,2024-04-11,29.83,1,52.37,Retardee
2,MedioTex,Marseille,Textile,2025-08-25,37.48,2,59.52,Livree
3,FreshMarket,Lille,Alimentaire,2026-05-28,21.38,2,77.5,Livree
4,NordDrive,Marseille,Pieces auto,2024-06-22,29.34,3,30.61,Livree
5,MedioTex,Marseille,Textile,2023-11-10,32.85,1,31.92,Incident
6,MedioTex,Lille,Textile,2026-07-22,32.64,1,9.52,Livree
7,NordDrive,Lille,Pieces auto,2022-04-10,37.06,1,38.72,Livree
8,NordDrive,Lille,Pieces auto,2023-06-20,34.18,1,80.18,Livree
9,MedioTex,Lille,Textile,2025-10-20,26.65,2,81.23,Livree
10,FreshMarket,Marseille,Alimentaire,2022-01-15,3.04,4,33.02,Livree
11,MedioTex,Lille,Textile,2022-12-08,13.64,1,62.05,Livree
12,MedioTex,Lyon,Textile,2022-10-20,39.84,4,35.03,Livree
13,FreshMarket,Marseille,Alimentaire,2024-04-02,33.83,2,63.71,Livree
14,FreshMarket,Lyon,Alimentaire,2022-09-02,4.71,1,70.69,Livree
15,MedioTex,Lille,Textile,2022-04-01,20.84,2,39.54,Livree
16,MedioTex,Lille,Textile,2025-03-27,15.61,5,86.18,Livree
17,MedioTex,Lille,Textile,2026-03-21,13.31,2,64.67,Retardee
18,FreshMarket,Marseille,Alimentaire,2025-09-02,37.11,3,88.27,Livree
19,MedioTex,Lyon,Textile,2024-10-04,37.33,3,80.17,Livree
20,MedioTex,Lyon,Textile,2025-11-10,18.92,3,66.99,Livree
21,MedioTex,Lyon,Textile,2025-07-15,37.99,1,26.78,Livree
22,MedioTex,Lille,Textile,2026-01-17,32.54,2,38.17,Retardee
23,NordDrive,Lille,Pieces auto,2024-03-10,23.75,3,43.62,Livree
24,MedioTex,Lille,Textile,2025-05-03,41.99,1,20.43,Livree
25,NordDrive,Lyon,Pieces auto,2025-09-02,15.25,2,27.79,Livree
26,MedioTex,Lille,Textile,2022-07-04,14.98,4,33.09,Livree
27,MedioTex,Marseille,Textile,2023-03-20,19.94,3,64.41,Livree
28,NordDrive,Lyon,Pieces auto,2023-10-31,34.94,2,30.2,Retardee
29,MedioTex,Lyon,Textile,2024-08-16,7.02,1,14.54,Livree
30,MedioTex,Lyon,Textile,2025-05-30,30.64,2,31.01,Livree
31,MedioTex,Lyon,Textile,2022-11-29,17.16,2,37.02,Livree
32,MedioTex,Lyon,Textile,2022-12-09,1.29,3,65.71,Livree
