timestamp,entrepot,zone,nb_passages,sens
2026-08-01T00:00:00,OMG-LYO,Quai reception,8,sortie
2026-08-01T01:00:00,OMG-LYO,Quai reception,33,sortie
2026-08-01T02:00:00,OMG-LYO,Quai reception,6,sortie
2026-08-01T03:00:00,OMG-LYO,Quai reception,23,sortie
2026-08-01T04:00:00,OMG-LYO,Quai reception,33,sortie
2026-08-01T05:00:00,OMG-LYO,Quai reception,15,entree
2026-08-01T06:00:00,OMG-LYO,Quai reception,15,entree
2026-08-01T07:00:00,OMG-LYO,Quai reception,31,sortie
2026-08-01T08:00:00,OMG-LYO,Quai reception,42,sortie
2026-08-01T09:00:00,OMG-LYO,Quai reception,2,entree
2026-08-01T10:00:00,OMG-LYO,Quai reception,27,entree
2026-08-01T11:00:00,OMG-LYO,Quai reception,44,sortie
2026-08-01T12:00:00,OMG-LYO,Quai reception,40,sortie
2026-08-01T13:00:00,OMG-LYO,Quai reception,9,sortie
2026-08-01T14:00:00,OMG-LYO,Quai reception,27,entree
2026-08-01T15:00:00,OMG-LYO,Quai reception,42,entree
2026-08-01T16:00:00,OMG-LYO,Quai reception,23,sortie
2026-08-01T17:00:00,OMG-LYO,Quai reception,43,sortie
2026-08-01T18:00:00,OMG-LYO,Quai reception,17,sortie
2026-08-01T19:00:00,OMG-LYO,Quai reception,6,sortie
2026-08-01T20:00:00,OMG-LYO,Quai reception,3,sortie
2026-08-01T21:00:00,OMG-LYO,Quai reception,4,entree
2026-08-01T22:00:00,OMG-LYO,Quai reception,12,entree
2026-08-01T23:00:00,OMG-LYO,Quai reception,4,entree
2026-08-02T00:00:00,OMG-LYO,Quai reception,36,entree
2026-08-02T01:00:00,OMG-LYO,Quai reception,24,entree
2026-08-02T02:00:00,OMG-LYO,Quai reception,3,sortie
2026-08-02T03:00:00,OMG-LYO,Quai reception,27,entree
2026-08-02T04:00:00,OMG-LYO,Quai reception,5,entree
2026-08-02T05:00:00,OMG-LYO,Quai reception,4,entree
2026-08-02T06:00:00,OMG-LYO,Quai reception,0,sortie
2026-08-02T07:00:00,OMG-LYO,Quai reception,32,sortie
2026-08-02T08:00:00,OMG-LYO,Quai reception,4,entree
