timestamp,entrepot,zone,temperature_c,alerte
2026-08-01T00:00:00,OMG-LYO,Zone froide A,3.38,0
2026-08-01T00:15:00,OMG-LYO,Zone froide A,2.1,0
2026-08-01T00:30:00,OMG-LYO,Zone froide A,3.14,0
2026-08-01T00:45:00,OMG-LYO,Zone froide A,2.18,0
2026-08-01T01:00:00,OMG-LYO,Zone froide A,2.79,0
2026-08-01T01:15:00,OMG-LYO,Zone froide A,2.29,0
2026-08-01T01:30:00,OMG-LYO,Zone froide A,1.92,0
2026-08-01T01:45:00,OMG-LYO,Zone froide A,3.93,0
2026-08-01T02:00:00,OMG-LYO,Zone froide A,2.98,0
2026-08-01T02:15:00,OMG-LYO,Zone froide A,1.79,0
2026-08-01T02:30:00,OMG-LYO,Zone froide A,3.81,0
2026-08-01T02:45:00,OMG-LYO,Zone froide A,2.38,0
2026-08-01T03:00:00,OMG-LYO,Zone froide A,4.67,0
2026-08-01T03:15:00,OMG-LYO,Zone froide A,4.01,0
2026-08-01T03:30:00,OMG-LYO,Zone froide A,2.38,0
2026-08-01T03:45:00,OMG-LYO,Zone froide A,2.99,0
2026-08-01T04:00:00,OMG-LYO,Zone froide A,3.56,0
2026-08-01T04:15:00,OMG-LYO,Zone froide A,2.73,0
2026-08-01T04:30:00,OMG-LYO,Zone froide A,2.95,0
2026-08-01T04:45:00,OMG-LYO,Zone froide A,2.92,0
2026-08-01T05:00:00,OMG-LYO,Zone froide A,3.35,0
2026-08-01T05:15:00,OMG-LYO,Zone froide A,3.04,0
2026-08-01T05:30:00,OMG-LYO,Zone froide A,3.5,0
2026-08-01T05:45:00,OMG-LYO,Zone froide A,3.37,0
2026-08-01T06:00:00,OMG-LYO,Zone froide A,3.01,0
2026-08-01T06:15:00,OMG-LYO,Zone froide A,4.01,0
2026-08-01T06:30:00,OMG-LYO,Zone froide A,3.03,0
2026-08-01T06:45:00,OMG-LYO,Zone froide A,4.08,0
2026-08-01T07:00:00,OMG-LYO,Zone froide A,3.92,0
2026-08-01T07:15:00,OMG-LYO,Zone froide A,1.04,0
2026-08-01T07:30:00,OMG-LYO,Zone froide A,3.43,0
2026-08-01T07:45:00,OMG-LYO,Zone froide A,1.74,0
2026-08-01T08:00:00,OMG-LYO,Zone froide A,3.04,0
2026-08-01T08:15:00,OMG-LYO,Zone froide A,2.72,0
