id,commande_id,produit_id,quantite
1,1,2,36
2,1,5,40
3,1,6,37
4,1,4,5
5,2,3,24
6,2,6,14
7,2,5,5
8,3,16,4
9,3,14,3
10,4,16,14
11,4,18,26
12,4,18,10
13,4,15,9
14,4,14,36
15,5,11,8
16,6,9,17
17,6,9,1
18,6,2,35
19,6,5,22
20,7,5,33
21,8,23,35
22,8,29,1
23,8,30,21
24,9,2,32
25,10,17,14
26,10,19,13
27,10,15,26
28,10,16,29
29,10,19,29
30,11,22,4
31,12,9,16
32,13,27,13
33,13,22,7
34,13,27,23
35,13,27,27
36,14,4,13
37,15,18,36
38,16,4,26
39,16,1,11
40,16,7,1
41,16,7,17
42,17,21,38
43,17,29,4
44,18,23,5
45,19,22,37
46,19,24,38
47,19,30,3
48,19,30,6
49,20,15,26
50,20,13,20
51,21,19,14
52,22,24,24
53,23,15,7
54,23,13,17
55,23,12,7
56,23,19,10
57,23,15,19
58,24,22,28
59,25,19,1
60,25,12,5
61,25,13,35
62,25,11,24
63,26,6,36
64,27,13,12
65,27,17,2
66,28,27,3
67,29,17,22
68,29,15,5
69,30,23,38
70,30,25,3
71,30,22,39
72,31,24,17
73,31,21,28
74,31,21,34
75,31,29,13
76,31,26,28
77,32,25,27
78,32,26,26
79,32,25,36
80,32,23,13
81,32,27,25
82,33,10,21
83,33,8,29
84,33,8,14
85,33,9,31
86,33,3,6
87,34,3,2
88,34,1,16
89,35,18,26
90,35,14,10
91,35,11,7
92,35,17,15
93,36,9,36
94,36,10,21
95,36,8,40
96,36,9,28
97,37,18,16
98,37,15,29
99,37,12,19
100,37,14,18
101,37,16,21
102,38,6,35
103,38,8,27
104,38,1,14
105,38,7,25
106,39,20,15
107,39,18,15
108,39,15,28
109,39,18,2
110,39,17,22
111,40,30,2
112,40,22,28
113,40,23,30
114,40,23,4
115,40,25,25
116,41,11,35
117,41,11,23
118,41,14,5
119,41,11,2
120,42,4,30
121,42,5,24
122,42,3,39
123,42,10,8
124,42,3,20
125,43,7,26
126,43,4,5
127,43,10,16
128,43,2,20
129,43,10,8
130,44,28,7
131,44,27,24
132,44,28,10
133,44,27,12
134,45,14,6
135,45,15,29
136,45,14,30
137,46,28,21
138,47,11,34
139,47,14,6
140,47,14,27
141,47,18,36
142,47,14,31
143,48,6,31
144,48,9,34
145,48,6,28
146,48,9,22
147,48,6,30
148,49,4,14
149,49,8,18
150,50,13,18
151,50,11,4
152,50,19,19
153,50,13,32
154,50,12,1
155,51,7,32
156,52,2,36
157,52,7,39
158,53,30,7
159,54,3,16
160,55,14,19
161,56,7,8
162,56,9,15
163,57,21,11
164,58,15,33
165,58,19,32
166,58,18,6
167,58,20,3
168,59,12,15
169,60,30,3
170,60,23,31
171,60,29,29
172,61,12,31
173,61,16,27
174,61,16,21
175,61,12,11
176,62,15,21
177,62,12,26
178,62,19,1
179,63,24,18
180,64,5,36
181,64,1,36
182,65,9,18
183,65,7,31
184,65,8,16
185,66,27,22
186,66,29,18
187,66,21,19
188,67,19,25
189,67,18,21
190,67,14,16
191,67,20,25
192,67,14,27
193,68,23,33
194,69,23,5
195,69,28,17
196,69,26,40
197,69,27,6
198,70,30,5
199,71,28,11
200,72,25,23
201,73,30,25
202,74,18,19
203,75,15,13
204,75,17,31
205,75,12,16
206,75,17,37
207,76,11,26
208,76,15,1
209,76,20,4
210,77,24,39
211,77,26,15
212,77,24,40
213,78,1,38
214,78,6,9
215,78,2,19
216,78,6,27
217,79,28,19
218,79,26,8
219,79,28,5
220,80,12,30
221,80,16,17
222,80,20,25
223,80,16,7
224,80,14,31
225,81,25,27
226,81,22,9
227,81,21,3
228,81,25,32
229,82,17,38
230,82,13,27
231,82,12,32
232,82,20,27
233,82,15,3
234,83,26,7
235,83,26,35
236,84,11,4
237,84,16,16
238,84,13,37
239,84,14,5
240,84,19,14
241,85,5,12
242,85,2,2
243,85,3,1
244,85,6,16
245,85,10,21
246,86,9,8
247,86,2,31
248,86,8,24
249,86,9,38
250,87,21,31
251,88,12,9
252,88,15,40
253,89,19,14
254,90,17,21
255,90,15,24
256,90,13,31
257,91,9,4
258,91,10,36
259,92,15,23
260,92,12,37
261,92,19,14
262,92,13,31
263,92,14,7
264,93,20,15
265,93,17,36
266,93,20,40
267,94,6,1
268,94,3,10
269,94,10,26
270,95,26,11
271,95,26,20
272,95,26,37
273,95,30,6
274,96,28,39
275,96,28,27
276,96,25,14
277,96,29,8
278,97,24,26
279,98,23,17
280,98,25,21
281,99,9,23
282,99,2,26
283,99,1,28
284,99,1,30
285,99,2,21
286,100,13,40
287,100,18,24
288,100,12,28
289,101,6,11
290,101,2,33
291,102,25,13
292,102,23,39
293,103,20,21
294,103,16,10
295,103,18,5
296,103,18,29
297,103,15,18
298,104,12,6
299,104,20,39
300,104,19,25
301,105,29,10
302,105,21,29
303,105,22,22
304,105,22,33
305,106,25,25
306,106,27,22
307,106,30,4
308,107,13,22
309,107,12,38
310,107,13,23
311,107,15,26
312,107,13,39
313,108,2,28
314,108,9,24
315,108,1,24
316,108,5,12
317,108,4,22
318,109,9,3
319,109,6,40
320,109,3,39
321,109,7,10
322,109,3,12
323,110,25,29
324,110,24,35
325,110,24,20
326,110,28,13
327,110,26,37
328,111,19,27
329,111,13,13
330,111,20,9
331,111,15,4
332,111,18,24
333,112,3,28
334,112,2,15
335,112,8,23
336,112,1,27
337,112,1,26
338,113,3,9
339,113,1,19
340,113,8,9
341,114,19,28
342,114,12,19
343,114,14,20
344,114,12,4
345,114,14,27
346,115,23,19
347,115,27,1
348,116,29,35
349,117,21,25
350,117,26,17
351,117,21,23
352,117,22,23
353,118,26,12
354,118,28,31
355,118,23,9
356,118,22,30
357,118,21,19
358,119,18,17
359,119,11,13
360,119,15,23
361,119,11,22
362,119,15,8
363,120,16,12
364,120,18,32
365,120,16,34
366,120,15,6
367,121,15,29
368,121,20,28
369,121,13,29
370,122,12,26
371,123,13,39
372,124,20,10
373,125,4,8
374,125,1,12
375,125,8,34
376,126,14,8
377,126,13,5
378,126,18,12
379,126,18,6
380,127,26,33
381,127,24,8
382,128,13,40
383,128,12,5
384,128,15,26
385,128,18,34
386,128,17,27
387,129,19,38
388,129,13,9
389,130,24,23
390,130,29,19
391,130,22,17
392,131,23,38
393,131,30,10
394,131,23,40
395,131,30,22
396,131,30,3
397,132,20,2
398,132,18,35
399,132,15,20
400,132,18,16
401,133,20,10
402,133,16,21
403,133,16,26
404,134,3,7
405,134,1,19
406,135,28,33
407,135,28,32
408,136,11,19
409,137,19,1
410,137,12,28
411,137,13,17
412,138,21,37
413,138,29,13
414,138,26,36
415,138,25,5
416,139,27,24
417,140,21,9
418,141,23,26
419,141,30,20
420,141,30,22
421,142,20,20
422,142,11,39
423,142,18,17
424,142,20,37
425,143,23,16
426,143,21,37
427,143,22,13
428,143,21,29
429,144,17,33
430,144,20,31
431,145,13,30
432,145,19,22
433,145,19,23
434,146,25,14
435,146,28,21
436,146,28,23
437,147,12,23
438,147,18,17
439,147,18,14
440,148,14,16
441,148,11,34
442,148,14,15
443,148,11,7
444,148,17,22
445,149,21,36
446,149,23,27
447,150,26,19
448,150,21,6
449,150,30,15
450,151,23,27
451,152,5,37
452,153,25,13
453,153,22,22
454,153,23,30
455,153,25,12
456,154,27,33
457,154,26,6
458,154,27,7
459,154,23,9
460,155,14,29
461,155,15,22
462,155,15,38
463,155,20,1
464,156,29,20
465,156,22,19
466,156,26,40
467,156,24,15
468,157,14,16
469,157,20,6
470,157,19,29
471,157,19,24
472,157,12,37
473,158,28,8
474,158,24,38
475,158,28,6
476,158,29,29
477,158,21,30
478,159,27,17
479,160,12,31
480,161,28,25
481,161,27,6
482,161,29,9
483,161,26,8
484,162,9,28
485,162,9,25
486,162,4,16
487,162,8,23
488,163,1,27
489,164,4,3
490,165,13,33
491,166,25,10
492,166,29,15
493,167,28,4
494,167,26,25
495,167,29,21
496,167,27,27
497,167,23,20
498,168,15,10
499,168,18,4
500,169,8,24
501,170,12,13
502,171,24,22
503,171,25,1
504,171,24,13
505,171,22,31
506,172,4,36
507,172,6,19
508,172,7,30
509,172,9,23
510,173,4,24
511,173,6,27
512,173,1,37
513,174,24,22
514,174,24,25
515,175,13,23
516,175,13,9
517,175,19,32
518,175,13,35
519,176,2,10
520,176,1,14
521,177,29,36
522,178,23,7
523,178,22,34
524,178,23,16
525,178,24,40
526,179,15,6
527,179,11,6
528,180,11,11
529,181,10,7
530,181,9,3
531,181,4,14
532,182,25,35
533,183,2,20
534,183,3,37
535,183,4,37
536,183,7,35
537,184,21,7
538,184,27,15
539,184,22,22
540,185,17,12
541,185,20,25
542,185,12,40
543,185,15,16
544,186,23,25
545,186,26,24
546,186,22,6
547,186,21,20
548,187,9,27
549,187,2,2
550,187,2,23
551,187,9,6
552,187,10,39
553,188,10,34
554,188,3,25
555,189,5,31
556,189,2,24
557,189,5,16
558,189,8,39
