id,entrepot_id,produit_id,quantite,date_maj
1,1,1,280,2026-07-29
2,1,2,697,2026-07-31
3,1,3,259,2026-07-29
4,1,4,238,2026-08-01
5,1,5,91,2026-07-27
6,1,6,612,2026-07-28
7,1,7,765,2026-07-29
8,1,8,727,2026-07-30
9,1,9,179,2026-07-30
10,1,10,135,2026-07-31
11,1,11,570,2026-07-27
12,1,12,231,2026-07-28
13,1,13,460,2026-07-31
14,1,14,533,2026-07-31
15,1,15,243,2026-07-28
16,1,16,105,2026-07-31
17,1,17,115,2026-07-27
18,1,18,675,2026-07-28
19,1,19,511,2026-08-01
20,1,20,401,2026-07-31
21,1,21,580,2026-07-31
22,1,22,176,2026-07-28
23,1,23,527,2026-08-01
24,1,24,728,2026-07-28
25,1,25,570,2026-07-31
26,1,26,171,2026-07-31
27,1,27,124,2026-08-01
28,1,28,119,2026-08-01
29,1,29,189,2026-07-31
30,1,30,179,2026-08-01
31,2,1,16,2026-08-01
32,2,2,708,2026-07-28
33,2,3,395,2026-07-29
34,2,4,444,2026-07-29
35,2,5,117,2026-08-01
36,2,6,30,2026-07-28
37,2,7,646,2026-07-28
38,2,8,687,2026-07-28
39,2,9,692,2026-07-29
40,2,10,732,2026-07-29
41,2,11,124,2026-08-01
42,2,12,560,2026-08-01
43,2,13,302,2026-07-31
44,2,14,381,2026-07-29
45,2,15,95,2026-07-30
46,2,16,63,2026-07-27
47,2,17,240,2026-07-28
48,2,18,296,2026-07-30
49,2,19,665,2026-07-31
50,2,20,656,2026-08-01
51,2,21,603,2026-07-28
52,2,22,773,2026-08-01
53,2,23,494,2026-07-30
54,2,24,431,2026-07-28
55,2,25,656,2026-07-31
56,2,26,199,2026-07-30
57,2,27,316,2026-07-29
58,2,28,602,2026-07-30
59,2,29,692,2026-08-01
60,2,30,35,2026-08-01
61,3,1,203,2026-07-27
62,3,2,791,2026-08-01
63,3,3,468,2026-07-29
64,3,4,186,2026-08-01
65,3,5,378,2026-07-30
66,3,6,337,2026-07-27
67,3,7,602,2026-07-29
68,3,8,448,2026-08-01
69,3,9,339,2026-08-01
70,3,10,705,2026-08-01
71,3,11,446,2026-07-29
72,3,12,684,2026-07-29
73,3,13,432,2026-07-30
74,3,14,94,2026-08-01
75,3,15,13,2026-07-27
76,3,16,402,2026-07-30
77,3,17,306,2026-08-01
78,3,18,725,2026-08-01
79,3,19,720,2026-07-31
80,3,20,288,2026-08-01
81,3,21,457,2026-07-28
82,3,22,331,2026-08-01
83,3,23,408,2026-07-28
84,3,24,605,2026-07-30
85,3,25,790,2026-07-28
86,3,26,480,2026-08-01
87,3,27,535,2026-07-28
88,3,28,15,2026-07-30
89,3,29,791,2026-07-28
90,3,30,778,2026-07-31
