source,reference_commande,date_commande,reference_produit,designation_produit,quantite,entrepot_destination,poids_unitaire_g,chaine_froid_requise
NordDrive,ND-000549,2026-07-19,SKU-10005,Bougie d'allumage,17.0,OMG-LIL,5900,
NordDrive,ND-000220,2026-05-16,SKU-10001,Plaquette de frein,20.0,OMG-LIL,5130,
NordDrive,ND-000860,2025-01-12,SKU-10006,Amortisseur avant,37.0,OMG-LYO,5430,
NordDrive,ND-000429,2025-06-05,SKU-10009,Retroviseur,21.0,OMG-LIL,3400,
NordDrive,ND-000561,2026-05-15,SKU-10002,Disque de frein,36.0,OMG-LYO,250,
NordDrive,ND-000825,2025-12-10,SKU-10007,Courroie de distribution,30.0,OMG-MAR,7140,
NordDrive,ND-000470,2025-07-09,SKU-10003,Filtre a huile,7.0,OMG-LIL,2240,
NordDrive,ND-001000,2026-02-04,SKU-10004,Filtre a air,6.0,OMG-LYO,1820,
NordDrive,ND-001297,2025-03-07,SKU-10008,Batterie 12V,6.0,OMG-MAR,740,
NordDrive,ND-001138,2025-11-12,SKU-10004,Filtre a air,24.0,OMG-LIL,1820,
NordDrive,ND-000329,2026-06-04,SKU-10001,Plaquette de frein,21.0,OMG-LYO,5130,
NordDrive,ND-001338,2026-06-15,SKU-10003,Filtre a huile,22.0,OMG-MAR,2240,
NordDrive,ND-000855,2026-07-18,SKU-10008,Batterie 12V,30.0,OMG-LIL,740,
NordDrive,ND-000034,2026-06-07,SKU-10003,Filtre a huile,2.0,OMG-LYO,2240,
NordDrive,ND-001081,2025-04-22,SKU-10007,Courroie de distribution,38.0,OMG-LIL,7140,
NordDrive,ND-001304,2026-02-16,SKU-10009,Retroviseur,7.0,OMG-LIL,3400,
NordDrive,ND-001259,2026-06-19,SKU-10002,Disque de frein,27.0,OMG-LYO,250,
NordDrive,ND-000034,2026-06-07,SKU-10001,Plaquette de frein,16.0,OMG-LYO,5130,
NordDrive,ND-000164,2026-04-10,SKU-10004,Filtre a air,3.0,OMG-LIL,1820,
NordDrive,ND-000169,2025-06-07,SKU-10008,Batterie 12V,24.0,OMG-LIL,740,
NordDrive,ND-000700,2025-09-10,SKU-10001,Plaquette de frein,26.0,OMG-LYO,5130,
NordDrive,ND-000652,2025-04-17,SKU-10008,Batterie 12V,30.0,OMG-MAR,740,
NordDrive,ND-000016,2025-05-10,SKU-10004,Filtre a air,26.0,OMG-LYO,1820,
NordDrive,ND-000648,2026-04-15,SKU-10005,Bougie d'allumage,30.0,OMG-LIL,5900,
NordDrive,ND-000682,2025-09-14,SKU-10008,Batterie 12V,26.0,OMG-LIL,740,
NordDrive,ND-000301,2025-01-04,SKU-10009,Retroviseur,28.0,OMG-LIL,3400,
NordDrive,ND-000896,2026-01-27,SKU-10003,Filtre a huile,7.0,OMG-LYO,2240,
NordDrive,ND-000728,2026-01-02,SKU-10006,Amortisseur avant,20.0,OMG-LIL,5430,
NordDrive,ND-001078,2025-10-18,SKU-10002,Disque de frein,1.0,OMG-LYO,250,
NordDrive,ND-000830,2025-06-08,SKU-10009,Retroviseur,29.0,OMG-LYO,3400,
NordDrive,ND-000086,2025-07-26,SKU-10009,Retroviseur,8.0,OMG-LYO,3400,
NordDrive,ND-000699,2026-04-01,SKU-10005,Bougie d'allumage,37.0,OMG-LYO,5900,
NordDrive,ND-000635,2025-06-20,SKU-10004,Filtre a air,26.0,OMG-LYO,1820,
NordDrive,ND-001013,2025-07-18,SKU-10005,Bougie d'allumage,15.0,OMG-LIL,5900,
NordDrive,ND-001043,2025-06-03,SKU-10007,Courroie de distribution,6.0,OMG-LIL,7140,
NordDrive,ND-001026,2025-03-22,SKU-10010,Pare-chocs avant,37.0,OMG-LIL,290,
NordDrive,ND-000464,2026-03-07,SKU-10002,Disque de frein,29.0,OMG-LYO,250,
NordDrive,ND-000867,2025-10-14,SKU-10010,Pare-chocs avant,2.0,OMG-LYO,290,
NordDrive,ND-000772,2025-07-21,SKU-10002,Disque de frein,28.0,OMG-MAR,250,
